f(x),average,SD(Standard Devation),Range,Median,Time(ms)
Schwefel,17379.936603408496,-1.1917537764719763E8,8284.89596184143~ 12295.535893000206,10633.19447496524,191056.0
De Jong 1,1756564.6852686114,-6.400538909319116E11,79922.29377211872~ 2046652.856600366,1078878.5744120092,31717.0
Rosenbrock's Saddle,1.0060977535315784E12,-2.1517492907220426E23,5.369409069779517E10~ 1.1553433572322861E12,6.256202419129304E11,57015.0
Rastrigin,4.195277126067806E14,-7.040140065803077E28,2.517166087395106E14~ 2.5171664626284603E14,2.5171662873526397E14,87976.0
Griewangk,2.0976387309067148E12,-1.760035298159973E24,1.2585832327967634E12~ 1.258583243986587E12,1.2585832386975312E12,143481.0
Sine Envelope Sine Wave,2.0976387188342434E12,-1.7600352779010257E24,1.2585832312960613E12~ 1.2585832313051577E12,1.2585832313007505E12,90619.0
Stretch V Sine Wave,2.0976387197312043E12,-1.7600352794062255E24,1.258583231331375E12~ 1.2585832323460706E12,1.2585832318562175E12,203139.0
Ackley One,2.0976387323544932E12,-1.7600353005895056E24,1.258583233890053E12~ 1.2585832450643076E12,1.2585832395414883E12,286207.0
Ackley Two,2.097638751607914E12,-1.7600353328988835E24,1.2585832454501182E12~ 1.25858325651171E12,1.2585832511213713E12,351906.0
Egg Holder,2.0976387332604905E12,-1.7600353021098714E24,1.2585832370350522E12~ 1.2585832429244966E12,1.2585832397614824E12,257510.0
Rana,2.0976387211693103E12,-1.7600352818195284E24,1.2585832286109675E12~ 1.2585832371520234E12,1.2585832334975713E12,473864.0
Pathological,1.9255722622805676E12,-1.483131414905721E24,1.1553433572417485E12~ 1.1553433574971692E12,1.1553433573724355E12,141592.0
Michalewicz,2.0976387205190889E12,-1.7600352807283828E24,1.2585832322796226E12~ 1.258583232343786E12,1.25858323231238E12,209179.0
Master's Cosine Wave,2.097638718851927E12,-1.7600352779307007E24,1.258583231297727E12~ 1.2585832313188313E12,1.2585832313114888E12,176708.0
Quartic,2.0174400583676155E12,-1.6264615592467856E24,8284.89596184143~ 1.258580937110703E12,1.2125961246179324E12,62301.0
Levy,2.0976394901268428E12,-1.7600365722157346E24,8284.89596184143~ 1.2585841157996716E12,1.2585837065044724E12,237120.0
Step,2.0976366832835264E12,-1.7600318620220734E24,8284.89596184143~ 1.2585830175965303E12,1.25858203528542E12,19257.0
Alpine,2.0976383794765186E12,-1.760034708421149E24,8284.89596184143~ 1.258583037472294E12,1.258583027830489E12,84956.0
